timestamp,mse,threshold,status
1774379712.1227903,6314.110795,2.520791,ANOMALIE
1774379712.2056723,7521.615026,2.520791,ANOMALIE
1774379712.3234868,6029.346766,2.520791,ANOMALIE
1774379712.4030693,7806.018413,2.520791,ANOMALIE
1774379712.5127885,6845.927139,2.520791,ANOMALIE
1774379712.6136959,5608.280562,2.520791,ANOMALIE
1774379712.7155595,3948.012958,2.520791,ANOMALIE
1774379712.8116424,2397.838047,2.520791,ANOMALIE
1774379712.8910258,2565.694067,2.520791,ANOMALIE
1774379712.9839993,2704.477478,2.520791,ANOMALIE
1774379713.0763626,3682.378394,2.520791,ANOMALIE
1774379713.190239,5262.014817,2.520791,ANOMALIE
1774379713.2652662,6759.521202,2.520791,ANOMALIE
1774379713.3356779,6873.45375,2.520791,ANOMALIE
1774379713.4452305,5100.823228,2.520791,ANOMALIE
1774379713.5709283,3838.796456,2.520791,ANOMALIE
1774379713.670433,4139.420393,2.520791,ANOMALIE
1774379713.753768,4153.22554,2.520791,ANOMALIE
1774379713.835907,4807.392636,2.520791,ANOMALIE
1774379713.9115136,4844.809689,2.520791,ANOMALIE
1774379714.030851,3357.927538,2.520791,ANOMALIE
1774379714.1214204,1200.945712,2.520791,ANOMALIE
1774379714.200146,0.000722,2.520791,NORMAL
1774379714.2810302,1250.684287,2.520791,ANOMALIE
1774379714.3503315,2500.949291,2.520791,ANOMALIE
1774379714.418631,3751.308656,2.520791,ANOMALIE
1774379714.5085564,3723.290864,2.520791,ANOMALIE
1774379714.5896263,4037.982826,2.520791,ANOMALIE
1774379714.6687448,4967.234179,2.520791,ANOMALIE
1774379714.7648265,6265.712793,2.520791,ANOMALIE
1774379714.857619,7520.724366,2.520791,ANOMALIE
1774379714.970898,8775.219283,2.520791,ANOMALIE
1774379715.048627,10029.003912,2.520791,ANOMALIE
1774379715.1483371,12069.688952,2.520791,ANOMALIE
1774379715.2254543,7635.427175,2.520791,ANOMALIE
1774379715.297582,6101.43387,2.520791,ANOMALIE
